NAME                                                                           VERSION                             TYPE                          
corp-source-maps                                                               UNKNOWN                             npm                            
curl                                                                           8.22.0-r0                           apk                            
dot                                                                            1.1.3                               npm                            
dot-express-example                                                            0.0.1                               npm                            
findutils                                                                      4.10.0-r1                           apk                            
foreachasync                                                                   3.0.0                               npm                            
freetype                                                                       2.14.3-r0                           apk                            
git                                                                            2.54.0-r0                           apk                            
git-init-template                                                              2.54.0-r0                           apk                            
github.com/beevik/etree                                                        v1.1.0                              go-module                      
github.com/kr/smartypants                                                      v0.1.0                              go-module                      
github.com/pgaskin/kepubify/_/html                                             v0.0.0-20211223234002-6ee2cc632cdc  go-module                      
github.com/pgaskin/kepubify/v4                                                 UNKNOWN                             go-module                      
github.com/spf13/pflag                                                         v1.0.5                              go-module                      
golang.org/x/sync                                                              v0.0.0-20210220032951-036812b2e83c  go-module                      
golang.org/x/text                                                              v0.3.6                              go-module                      
icu-data-full                                                                  78.1-r0                             apk                            
icu-libs                                                                       78.1-r0                             apk                            
jq                                                                             1.8.2-r0                            apk                            
jquery                                                                         3.7.1                               npm                            
js-cookie                                                                      3.0.8                               npm                            
libapk                                                                         3.0.8-r0                            apk                            
libattr                                                                        2.5.2-r2                            apk                            
libavif                                                                        1.4.1-r0                            apk                            
libbsd                                                                         0.12.2-r0                           apk                            
libbz2                                                                         1.0.8-r6                            apk                            
libcrypto3                                                                     3.5.8-r0                            apk                            
libcurl                                                                        8.22.0-r0                           apk                            
libdav1d                                                                       1.5.3-r0                            apk                            
libedit                                                                        20260508.3.1-r1                     apk                            
libexpat                                                                       2.8.4-r0                            apk                            
libgcc                                                                         15.2.0-r5                           apk                            
libice                                                                         1.1.2-r0                            apk                            
libidn2                                                                        2.3.8-r0                            apk                            
libintl                                                                        1.0-r0                              apk                            
libjpeg-turbo                                                                  3.1.3-r0                            apk                            
libmd                                                                          1.2.0-r0                            apk                            
libncursesw                                                                    6.6_p20260516-r0                    apk                            
libpng                                                                         1.6.58-r1                           apk                            
libproc2                                                                       4.0.6-r0                            apk                            
libpsl                                                                         0.21.5-r3                           apk                            
libsharpyuv                                                                    1.6.0-r0                            apk                            
libsm                                                                          1.2.6-r0                            apk                            
libssl3                                                                        3.5.8-r0                            apk                            
libstdc++                                                                      15.2.0-r5                           apk                            
libunistring                                                                   1.4.2-r0                            apk                            
libuuid                                                                        2.42.3-r1                           apk                            
libwebp                                                                        1.6.0-r0                            apk                            
libx11                                                                         1.8.13-r0                           apk                            
libxau                                                                         1.0.12-r0                           apk                            
libxcb                                                                         1.17.0-r2                           apk                            
libxdmcp                                                                       1.1.5-r1                            apk                            
libxext                                                                        1.3.7-r0                            apk                            
libxml2                                                                        2.13.9-r2                           apk                            
libxpm                                                                         3.5.19-r0                           apk                            
libxt                                                                          1.3.1-r0                            apk                            
libyuv                                                                         0.0.1928-r0                         apk                            
libzip                                                                         1.11.4-r2                           apk                            
linux-pam                                                                      1.7.1-r2                            apk                            
locutus                                                                        3.0.36                              npm                            
logrotate                                                                      3.22.0-r0                           apk                            
lru-fast                                                                       0.2.2                               npm                            
maennchen/zipstream-php                                                        3.2.2                               php-composer                   
magnific-popup                                                                 1.2.0                               npm                            
mikespub/epubjs-reader                                                         2026.1.24                           php-composer                   
mikespub/php-epub-meta                                                         4.1.4                               php-composer                   
mikespub/web-comic-reader                                                      2026.1.24                           php-composer                   
minimatch                                                                      10.2.6                              npm                            
mozilla/pdfjs-dist                                                             6.3.289                             php-composer                   
musl                                                                           1.2.6-r2                            apk                            
musl-utils                                                                     1.2.6-r2                            apk                            
nano                                                                           9.2-r0                              apk                            
ncurses-terminfo-base                                                          6.6_p20260516-r0                    apk                            
netcat-openbsd                                                                 1.234.1-r0                          apk                            
nghttp2-libs                                                                   1.69.0-r0                           apk                            
nginx                                                                          1.30.4-r1                           apk                            
normalize.css                                                                  8.0.1                               npm                            
npm-asset/babel--runtime                                                       v7.29.8                             php-composer                   
npm-asset/balanced-match                                                       4.0.4                               php-composer                   
npm-asset/bootstrap                                                            3.4.1                               php-composer                   
npm-asset/brace-expansion                                                      5.0.12                              php-composer                   
npm-asset/corejs-typeahead                                                     1.3.4                               php-composer                   
npm-asset/dot                                                                  1.1.3                               php-composer                   
npm-asset/foreachasync                                                         3.0.0                               php-composer                   
npm-asset/jquery                                                               3.7.1                               php-composer                   
npm-asset/js-cookie                                                            3.0.8                               php-composer                   
npm-asset/locutus                                                              3.0.36                              php-composer                   
npm-asset/lru-fast                                                             0.2.2                               php-composer                   
npm-asset/magnific-popup                                                       1.2.0                               php-composer                   
npm-asset/minimatch                                                            10.2.6                              php-composer                   
npm-asset/normalize.css                                                        8.0.1                               php-composer                   
npm-asset/twig                                                                 3.0.0                               php-composer                   
npm-asset/walk                                                                 2.3.15                              php-composer                   
oniguruma                                                                      6.9.10-r0                           apk                            
openssl                                                                        3.5.8-r0                            apk                            
pcre2                                                                          10.48-r0                            apk                            
php-epub-meta                                                                  UNKNOWN                             npm                            
php85                                                                          8.5.10-r0                           apk                            
php85-common                                                                   8.5.10-r0                           apk                            
php85-ctype                                                                    8.5.10-r0                           apk                            
php85-curl                                                                     8.5.10-r0                           apk                            
